###################################################
# Classe 1 : K = 2, M = 2, T = 8, N = 5
# Exemplo: 9.   Nome do arquivo: c1ex09.dat          Semente: 9192

global Q1 = 1e5
global Q2 = 1e5
#-----------------------Parâmetros----------------------
global K = 2 # Gramaturas
global M = 2 # Bobinas mestres (máquinas)
global T = 8 # Períodos
global N = 5 # Itens

global L = [540, 460] # Larguras das bobinas mestres

global l = [54, 64, 88, 110, 141] # Larguras dos itens

global rho = [2.0, 2.0] # Peso específico da bobina mestre

global b = [1080.0 920.0; 1080.0 920.0] # Peso total da bobina mestre
5 2 2 0.004;
5 2 3 0.004;
5 2 4 0.004;
5 2 5 0.004;
5 2 6 0.004;
5 2 7 0.004;
5 2 8 0.004;
]

# csc: custo de setup do padrão de corte (igual para cada padrão j)
global c_sc = [
1 1 1 0.184;
1 1 2 0.184;
1 1 3 0.184;
1 1 4 0.184;
1 1 5 0.184;
1 1 6 0.184;
1 1 7 0.184;
1 1 8 0.184;
1 2 1 0.091;
1 2 2 0.091;
1 2 3 0.091;
1 2 4 0.091;
1 2 5 0.091;
1 2 6 0.091;
1 2 7 0.091;
1 2 8 0.091;
2 1 1 0.076;
2 1 2 0.076;
2 1 3 0.076;
2 1 4 0.076;
2 1 5 0.076;
2 1 6 0.076;
2 1 7 0.076;
2 1 8 0.076;
2 2 1 0.085;
2 2 2 0.085;
2 2 3 0.085;
2 2 4 0.085;
2 2 5 0.085;
2 2 6 0.085;
2 2 7 0.085;
2 2 8 0.085;
]

# Demandas
global d = [
1 1 1 112;
1 1 2 197;
1 1 3 265;
1 1 4 79;
1 1 5 0;
1 1 6 0;
1 1 7 0;
1 1 8 152;
1 2 1 68;
1 2 2 146;
1 2 3 131;
1 2 4 192;
1 2 5 0;
1 2 6 127;
1 2 7 0;
1 2 8 85;
2 1 1 157;
2 1 2 202;
2 1 3 276;
2 1 4 160;
2 1 5 144;
2 1 6 138;
2 1 7 0;
2 1 8 70;
2 2 1 172;
2 2 2 288;
2 2 3 228;
2 2 4 0;
2 2 5 0;
2 2 6 276;
2 2 7 289;
2 2 8 0;
3 1 1 121;
3 1 2 155;
3 1 3 163;
3 1 4 110;
3 1 5 151;
3 1 6 124;
3 1 7 278;
3 1 8 119;
3 2 1 228;
3 2 2 113;
3 2 3 219;
3 2 4 80;
3 2 5 154;
3 2 6 228;
3 2 7 0;
3 2 8 152;
4 1 1 0;
4 1 2 240;
4 1 3 103;
4 1 4 216;
4 1 5 140;
4 1 6 297;
4 1 7 0;
4 1 8 0;
4 2 1 0;
4 2 2 99;
4 2 3 78;
4 2 4 0;
4 2 5 127;
4 2 6 170;
4 2 7 262;
4 2 8 0;
5 1 1 0;
5 1 2 276;
5 1 3 143;
5 1 4 180;
5 1 5 216;
5 1 6 212;
5 1 7 276;
5 1 8 224;
5 2 1 76;
5 2 2 148;
5 2 3 293;
5 2 4 269;
5 2 5 0;
5 2 6 280;
5 2 7 80;
5 2 8 300;
]

# Perda de papel no setup da máquina
global f = [36.72 31.28; 36.72 31.28]

# c: tempo de corte da bobina mestre
global c_km = [38.88 41.4; 34.56 46.0]

# p: tempo de setup do padrão j para a bobina mestre
global p_km = [3.966 4.223; 3.525 4.692]
# Capacidade média de produção por período:
CM = 264633.25

D_kt = [53488.0 205044.0 155622.0 146652.0 136720.0 164612.0 126760.0 109488.0; 90920.0 136036.0 181662.0 110674.0 55044.0 205532.0 117192.0 120532.0]


# Capacidade de produção de jumbo
global Cap_p = [142901.0 142901.0 142901.0 142901.0 142901.0 142901.0 142901.0 142901.0; 121731.0 121731.0 121731.0 121731.0 121731.0 121731.0 121731.0 121731.0]

# Capacidade da cortadeira
global Cap_c = [
10635.0;
10635.0;
10635.0;
10635.0;
10635.0;
10635.0;
10635.0;
10635.0;
]
#-----------------------------------------
