###################################################
# Classe 1 : K = 2, M = 2, T = 8, N = 5
# Exemplo: 4.   Nome do arquivo: c1ex04.dat          Semente: 4999

global Q1 = 1e5
global Q2 = 1e5
#-----------------------Parâmetros----------------------
global K = 2 # Gramaturas
global M = 2 # Bobinas mestres (máquinas)
global T = 8 # Períodos
global N = 5 # Itens

global L = [540, 460] # Larguras das bobinas mestres

global l = [59, 68, 82, 86, 96] # Larguras dos itens

global rho = [2.0, 2.0] # Peso específico da bobina mestre

global b = [1080.0 920.0; 1080.0 920.0] # Peso total da bobina mestre
5 2 2 0.005;
5 2 3 0.005;
5 2 4 0.005;
5 2 5 0.005;
5 2 6 0.005;
5 2 7 0.005;
5 2 8 0.005;
]

# csc: custo de setup do padrão de corte (igual para cada padrão j)
global c_sc = [
1 1 1 0.136;
1 1 2 0.136;
1 1 3 0.136;
1 1 4 0.136;
1 1 5 0.136;
1 1 6 0.136;
1 1 7 0.136;
1 1 8 0.136;
1 2 1 0.104;
1 2 2 0.104;
1 2 3 0.104;
1 2 4 0.104;
1 2 5 0.104;
1 2 6 0.104;
1 2 7 0.104;
1 2 8 0.104;
2 1 1 0.124;
2 1 2 0.124;
2 1 3 0.124;
2 1 4 0.124;
2 1 5 0.124;
2 1 6 0.124;
2 1 7 0.124;
2 1 8 0.124;
2 2 1 0.077;
2 2 2 0.077;
2 2 3 0.077;
2 2 4 0.077;
2 2 5 0.077;
2 2 6 0.077;
2 2 7 0.077;
2 2 8 0.077;
]

# Demandas
global d = [
1 1 1 102;
1 1 2 0;
1 1 3 127;
1 1 4 299;
1 1 5 0;
1 1 6 72;
1 1 7 0;
1 1 8 231;
1 2 1 296;
1 2 2 287;
1 2 3 151;
1 2 4 190;
1 2 5 140;
1 2 6 192;
1 2 7 189;
1 2 8 71;
2 1 1 213;
2 1 2 120;
2 1 3 291;
2 1 4 216;
2 1 5 231;
2 1 6 231;
2 1 7 230;
2 1 8 192;
2 2 1 155;
2 2 2 177;
2 2 3 0;
2 2 4 244;
2 2 5 248;
2 2 6 0;
2 2 7 0;
2 2 8 97;
3 1 1 152;
3 1 2 136;
3 1 3 140;
3 1 4 0;
3 1 5 179;
3 1 6 281;
3 1 7 217;
3 1 8 207;
3 2 1 0;
3 2 2 153;
3 2 3 181;
3 2 4 219;
3 2 5 135;
3 2 6 284;
3 2 7 115;
3 2 8 126;
4 1 1 59;
4 1 2 180;
4 1 3 60;
4 1 4 0;
4 1 5 0;
4 1 6 131;
4 1 7 0;
4 1 8 120;
4 2 1 55;
4 2 2 70;
4 2 3 0;
4 2 4 155;
4 2 5 0;
4 2 6 169;
4 2 7 170;
4 2 8 214;
5 1 1 0;
5 1 2 251;
5 1 3 54;
5 1 4 226;
5 1 5 240;
5 1 6 295;
5 1 7 79;
5 1 8 215;
5 2 1 236;
5 2 2 128;
5 2 3 176;
5 2 4 70;
5 2 5 231;
5 2 6 0;
5 2 7 168;
5 2 8 84;
]

# Perda de papel no setup da máquina
global f = [50.76 43.24; 50.76 43.24]

# c: tempo de corte da bobina mestre
global c_km = [52.92 26.68; 49.68 34.04]

# p: tempo de setup do padrão j para a bobina mestre
global p_km = [6.668 3.362; 6.26 4.289]
# Capacidade média de produção por período:
CM = 220140.25

D_kt = [76080.0 117776.0 98210.0 108050.0 106852.0 165168.0 82036.0 149238.0; 110780.0 119646.0 81294.0 131620.0 116740.0 98300.0 102658.0 95170.0]


# Capacidade de produção de jumbo
global Cap_p = [118875.0 118875.0 118875.0 118875.0 118875.0 118875.0 118875.0 118875.0; 101264.0 101264.0 101264.0 101264.0 101264.0 101264.0 101264.0 101264.0]

# Capacidade da cortadeira
global Cap_c = [
8980.0;
8980.0;
8980.0;
8980.0;
8980.0;
8980.0;
8980.0;
8980.0;
]
#-----------------------------------------
