###################################################
# Classe 1 : K = 2, M = 2, T = 8, N = 5
# Exemplo: 2.   Nome do arquivo: c1ex02.dat          Semente: 3677

global Q1 = 1e5
global Q2 = 1e5
#-----------------------Parâmetros----------------------
global K = 2 # Gramaturas
global M = 2 # Bobinas mestres (máquinas)
global T = 8 # Períodos
global N = 5 # Itens

global L = [540, 460] # Larguras das bobinas mestres

global l = [54, 65, 73, 77, 127] # Larguras dos itens

global rho = [2.0, 2.0] # Peso específico da bobina mestre

global b = [1080.0 920.0; 1080.0 920.0] # Peso total da bobina mestre
5 2 2 0.006;
5 2 3 0.006;
5 2 4 0.006;
5 2 5 0.006;
5 2 6 0.006;
5 2 7 0.006;
5 2 8 0.006;
]

# csc: custo de setup do padrão de corte (igual para cada padrão j)
global c_sc = [
1 1 1 0.095;
1 1 2 0.095;
1 1 3 0.095;
1 1 4 0.095;
1 1 5 0.095;
1 1 6 0.095;
1 1 7 0.095;
1 1 8 0.095;
1 2 1 0.116;
1 2 2 0.116;
1 2 3 0.116;
1 2 4 0.116;
1 2 5 0.116;
1 2 6 0.116;
1 2 7 0.116;
1 2 8 0.116;
2 1 1 0.083;
2 1 2 0.083;
2 1 3 0.083;
2 1 4 0.083;
2 1 5 0.083;
2 1 6 0.083;
2 1 7 0.083;
2 1 8 0.083;
2 2 1 0.101;
2 2 2 0.101;
2 2 3 0.101;
2 2 4 0.101;
2 2 5 0.101;
2 2 6 0.101;
2 2 7 0.101;
2 2 8 0.101;
]

# Demandas
global d = [
1 1 1 213;
1 1 2 115;
1 1 3 130;
1 1 4 151;
1 1 5 0;
1 1 6 265;
1 1 7 291;
1 1 8 284;
1 2 1 0;
1 2 2 206;
1 2 3 0;
1 2 4 252;
1 2 5 78;
1 2 6 279;
1 2 7 177;
1 2 8 284;
2 1 1 98;
2 1 2 54;
2 1 3 79;
2 1 4 83;
2 1 5 218;
2 1 6 0;
2 1 7 147;
2 1 8 0;
2 2 1 257;
2 2 2 184;
2 2 3 0;
2 2 4 300;
2 2 5 108;
2 2 6 0;
2 2 7 91;
2 2 8 125;
3 1 1 284;
3 1 2 0;
3 1 3 246;
3 1 4 0;
3 1 5 270;
3 1 6 0;
3 1 7 0;
3 1 8 95;
3 2 1 256;
3 2 2 202;
3 2 3 63;
3 2 4 181;
3 2 5 230;
3 2 6 262;
3 2 7 81;
3 2 8 234;
4 1 1 214;
4 1 2 189;
4 1 3 75;
4 1 4 227;
4 1 5 279;
4 1 6 116;
4 1 7 0;
4 1 8 73;
4 2 1 114;
4 2 2 246;
4 2 3 239;
4 2 4 215;
4 2 5 0;
4 2 6 117;
4 2 7 222;
4 2 8 210;
5 1 1 226;
5 1 2 126;
5 1 3 259;
5 1 4 240;
5 1 5 211;
5 1 6 149;
5 1 7 0;
5 1 8 291;
5 2 1 53;
5 2 2 144;
5 2 3 225;
5 2 4 221;
5 2 5 284;
5 2 6 265;
5 2 7 117;
5 2 8 174;
]

# Perda de papel no setup da máquina
global f = [30.24 25.76; 30.24 25.76]

# c: tempo de corte da bobina mestre
global c_km = [41.04 18.4; 45.36 41.4]

# p: tempo de setup do padrão j para a bobina mestre
global p_km = [5.089 2.282; 5.625 5.134]
# Capacidade média de produção por período:
CM = 252704.25

D_kt = [167568.0 80550.0 137562.0 123016.0 164320.0 84330.0 50538.0 129698.0; 101804.0 150120.0 103154.0 181886.0 128180.0 153712.0 106678.0 157622.0]


# Capacidade de produção de jumbo
global Cap_p = [136460.0 136460.0 136460.0 136460.0 136460.0 136460.0 136460.0 136460.0; 116243.0 116243.0 116243.0 116243.0 116243.0 116243.0 116243.0 116243.0]

# Capacidade da cortadeira
global Cap_c = [
9232.0;
9232.0;
9232.0;
9232.0;
9232.0;
9232.0;
9232.0;
9232.0;
]
#-----------------------------------------
