###################################################
# Classe 1 : K = 2, M = 2, T = 8, N = 5
# Exemplo: 10.   Nome do arquivo: c1ex10.dat          Semente: 9789

global Q1 = 1e5
global Q2 = 1e5
#-----------------------Parâmetros----------------------
global K = 2 # Gramaturas
global M = 2 # Bobinas mestres (máquinas)
global T = 8 # Períodos
global N = 5 # Itens

global L = [540, 460] # Larguras das bobinas mestres

global l = [51, 87, 110, 121, 147] # Larguras dos itens

global rho = [2.0, 2.0] # Peso específico da bobina mestre

global b = [1080.0 920.0; 1080.0 920.0] # Peso total da bobina mestre
5 2 2 0.006;
5 2 3 0.006;
5 2 4 0.006;
5 2 5 0.006;
5 2 6 0.006;
5 2 7 0.006;
5 2 8 0.006;
]

# csc: custo de setup do padrão de corte (igual para cada padrão j)
global c_sc = [
1 1 1 0.076;
1 1 2 0.076;
1 1 3 0.076;
1 1 4 0.076;
1 1 5 0.076;
1 1 6 0.076;
1 1 7 0.076;
1 1 8 0.076;
1 2 1 0.092;
1 2 2 0.092;
1 2 3 0.092;
1 2 4 0.092;
1 2 5 0.092;
1 2 6 0.092;
1 2 7 0.092;
1 2 8 0.092;
2 1 1 0.114;
2 1 2 0.114;
2 1 3 0.114;
2 1 4 0.114;
2 1 5 0.114;
2 1 6 0.114;
2 1 7 0.114;
2 1 8 0.114;
2 2 1 0.087;
2 2 2 0.087;
2 2 3 0.087;
2 2 4 0.087;
2 2 5 0.087;
2 2 6 0.087;
2 2 7 0.087;
2 2 8 0.087;
]

# Demandas
global d = [
1 1 1 194;
1 1 2 249;
1 1 3 246;
1 1 4 63;
1 1 5 54;
1 1 6 262;
1 1 7 69;
1 1 8 139;
1 2 1 0;
1 2 2 101;
1 2 3 289;
1 2 4 217;
1 2 5 133;
1 2 6 111;
1 2 7 259;
1 2 8 265;
2 1 1 261;
2 1 2 0;
2 1 3 59;
2 1 4 289;
2 1 5 121;
2 1 6 227;
2 1 7 0;
2 1 8 0;
2 2 1 197;
2 2 2 233;
2 2 3 0;
2 2 4 279;
2 2 5 0;
2 2 6 122;
2 2 7 290;
2 2 8 140;
3 1 1 137;
3 1 2 0;
3 1 3 57;
3 1 4 0;
3 1 5 240;
3 1 6 158;
3 1 7 126;
3 1 8 116;
3 2 1 0;
3 2 2 214;
3 2 3 198;
3 2 4 183;
3 2 5 0;
3 2 6 110;
3 2 7 281;
3 2 8 0;
4 1 1 0;
4 1 2 248;
4 1 3 118;
4 1 4 75;
4 1 5 258;
4 1 6 0;
4 1 7 0;
4 1 8 144;
4 2 1 144;
4 2 2 274;
4 2 3 127;
4 2 4 147;
4 2 5 135;
4 2 6 80;
4 2 7 130;
4 2 8 203;
5 1 1 244;
5 1 2 288;
5 1 3 152;
5 1 4 88;
5 1 5 72;
5 1 6 252;
5 1 7 115;
5 1 8 103;
5 2 1 276;
5 2 2 257;
5 2 3 70;
5 2 4 153;
5 2 5 195;
5 2 6 295;
5 2 7 0;
5 2 8 277;
]

# Perda de papel no setup da máquina
global f = [52.92 45.08; 52.92 45.08]

# c: tempo de corte da bobina mestre
global c_km = [52.92 33.12; 35.64 42.32]

# p: tempo de setup do padrão j para a bobina mestre
global p_km = [6.35 3.974; 4.277 5.078]
# Capacidade média de produção por período:
CM = 299558.25

D_kt = [167078.0 170086.0 121142.0 100734.0 162966.0 175070.0 68568.0 104828.0; 150270.0 239790.0 124352.0 191496.0 103566.0 162840.0 170158.0 181954.0]


# Capacidade de produção de jumbo
global Cap_p = [161761.0 161761.0 161761.0 161761.0 161761.0 161761.0 161761.0 161761.0; 137796.0 137796.0 137796.0 137796.0 137796.0 137796.0 137796.0 137796.0]

# Capacidade da cortadeira
global Cap_c = [
12273.0;
12273.0;
12273.0;
12273.0;
12273.0;
12273.0;
12273.0;
12273.0;
]
#-----------------------------------------
