###################################################
# Classe 1 : K = 2, M = 2, T = 8, N = 5
# Exemplo: 8.   Nome do arquivo: c1ex08.dat          Semente: 8689

global Q1 = 1e5
global Q2 = 1e5
#-----------------------Parâmetros----------------------
global K = 2 # Gramaturas
global M = 2 # Bobinas mestres (máquinas)
global T = 8 # Períodos
global N = 5 # Itens

global L = [540, 460] # Larguras das bobinas mestres

global l = [62, 113, 135, 136, 148] # Larguras dos itens

global rho = [2.0, 2.0] # Peso específico da bobina mestre

global b = [1080.0 920.0; 1080.0 920.0] # Peso total da bobina mestre
5 2 2 0.005;
5 2 3 0.005;
5 2 4 0.005;
5 2 5 0.005;
5 2 6 0.005;
5 2 7 0.005;
5 2 8 0.005;
]

# csc: custo de setup do padrão de corte (igual para cada padrão j)
global c_sc = [
1 1 1 0.085;
1 1 2 0.085;
1 1 3 0.085;
1 1 4 0.085;
1 1 5 0.085;
1 1 6 0.085;
1 1 7 0.085;
1 1 8 0.085;
1 2 1 0.104;
1 2 2 0.104;
1 2 3 0.104;
1 2 4 0.104;
1 2 5 0.104;
1 2 6 0.104;
1 2 7 0.104;
1 2 8 0.104;
2 1 1 0.141;
2 1 2 0.141;
2 1 3 0.141;
2 1 4 0.141;
2 1 5 0.141;
2 1 6 0.141;
2 1 7 0.141;
2 1 8 0.141;
2 2 1 0.126;
2 2 2 0.126;
2 2 3 0.126;
2 2 4 0.126;
2 2 5 0.126;
2 2 6 0.126;
2 2 7 0.126;
2 2 8 0.126;
]

# Demandas
global d = [
1 1 1 136;
1 1 2 0;
1 1 3 165;
1 1 4 185;
1 1 5 254;
1 1 6 77;
1 1 7 0;
1 1 8 0;
1 2 1 0;
1 2 2 113;
1 2 3 195;
1 2 4 144;
1 2 5 178;
1 2 6 188;
1 2 7 133;
1 2 8 105;
2 1 1 52;
2 1 2 0;
2 1 3 118;
2 1 4 67;
2 1 5 132;
2 1 6 269;
2 1 7 116;
2 1 8 99;
2 2 1 154;
2 2 2 218;
2 2 3 128;
2 2 4 133;
2 2 5 196;
2 2 6 227;
2 2 7 223;
2 2 8 198;
3 1 1 136;
3 1 2 245;
3 1 3 0;
3 1 4 121;
3 1 5 201;
3 1 6 0;
3 1 7 125;
3 1 8 0;
3 2 1 125;
3 2 2 123;
3 2 3 149;
3 2 4 199;
3 2 5 212;
3 2 6 115;
3 2 7 261;
3 2 8 84;
4 1 1 61;
4 1 2 181;
4 1 3 112;
4 1 4 142;
4 1 5 177;
4 1 6 231;
4 1 7 161;
4 1 8 0;
4 2 1 258;
4 2 2 0;
4 2 3 250;
4 2 4 234;
4 2 5 273;
4 2 6 257;
4 2 7 0;
4 2 8 230;
5 1 1 171;
5 1 2 104;
5 1 3 0;
5 1 4 0;
5 1 5 260;
5 1 6 112;
5 1 7 104;
5 1 8 231;
5 2 1 111;
5 2 2 223;
5 2 3 249;
5 2 4 66;
5 2 5 172;
5 2 6 72;
5 2 7 155;
5 2 8 251;
]

# Perda de papel no setup da máquina
global f = [45.36 38.64; 45.36 38.64]

# c: tempo de corte da bobina mestre
global c_km = [29.16 46.0; 45.36 22.08]

# p: tempo de setup do padrão j para a bobina mestre
global p_km = [3.528 5.566; 5.489 2.672]
# Capacidade média de produção por período:
CM = 337437.0

D_kt = [132544.0 146166.0 77592.0 109376.0 240702.0 166326.0 134542.0 90750.0; 171586.0 162498.0 235042.0 184828.0 248776.0 196880.0 183240.0 217304.0]


# Capacidade de produção de jumbo
global Cap_p = [182215.0 182215.0 182215.0 182215.0 182215.0 182215.0 182215.0 182215.0; 155221.0 155221.0 155221.0 155221.0 155221.0 155221.0 155221.0 155221.0]

# Capacidade da cortadeira
global Cap_c = [
12023.0;
12023.0;
12023.0;
12023.0;
12023.0;
12023.0;
12023.0;
12023.0;
]
#-----------------------------------------
