###################################################
# Classe 1 : K = 2, M = 2, T = 8, N = 5
# Exemplo: 7.   Nome do arquivo: c1ex07.dat          Semente: 7384

global Q1 = 1e5
global Q2 = 1e5
#-----------------------Parâmetros----------------------
global K = 2 # Gramaturas
global M = 2 # Bobinas mestres (máquinas)
global T = 8 # Períodos
global N = 5 # Itens

global L = [540, 460] # Larguras das bobinas mestres

global l = [90, 93, 103, 105, 107] # Larguras dos itens

global rho = [2.0, 2.0] # Peso específico da bobina mestre

global b = [1080.0 920.0; 1080.0 920.0] # Peso total da bobina mestre
5 2 2 0.006;
5 2 3 0.006;
5 2 4 0.006;
5 2 5 0.006;
5 2 6 0.006;
5 2 7 0.006;
5 2 8 0.006;
]

# csc: custo de setup do padrão de corte (igual para cada padrão j)
global c_sc = [
1 1 1 0.087;
1 1 2 0.087;
1 1 3 0.087;
1 1 4 0.087;
1 1 5 0.087;
1 1 6 0.087;
1 1 7 0.087;
1 1 8 0.087;
1 2 1 0.091;
1 2 2 0.091;
1 2 3 0.091;
1 2 4 0.091;
1 2 5 0.091;
1 2 6 0.091;
1 2 7 0.091;
1 2 8 0.091;
2 1 1 0.125;
2 1 2 0.125;
2 1 3 0.125;
2 1 4 0.125;
2 1 5 0.125;
2 1 6 0.125;
2 1 7 0.125;
2 1 8 0.125;
2 2 1 0.115;
2 2 2 0.115;
2 2 3 0.115;
2 2 4 0.115;
2 2 5 0.115;
2 2 6 0.115;
2 2 7 0.115;
2 2 8 0.115;
]

# Demandas
global d = [
1 1 1 271;
1 1 2 213;
1 1 3 98;
1 1 4 262;
1 1 5 111;
1 1 6 58;
1 1 7 75;
1 1 8 51;
1 2 1 209;
1 2 2 156;
1 2 3 0;
1 2 4 165;
1 2 5 187;
1 2 6 273;
1 2 7 267;
1 2 8 65;
2 1 1 164;
2 1 2 121;
2 1 3 254;
2 1 4 281;
2 1 5 180;
2 1 6 179;
2 1 7 75;
2 1 8 0;
2 2 1 284;
2 2 2 284;
2 2 3 280;
2 2 4 225;
2 2 5 0;
2 2 6 263;
2 2 7 93;
2 2 8 218;
3 1 1 296;
3 1 2 219;
3 1 3 0;
3 1 4 133;
3 1 5 198;
3 1 6 83;
3 1 7 66;
3 1 8 53;
3 2 1 0;
3 2 2 110;
3 2 3 0;
3 2 4 222;
3 2 5 191;
3 2 6 93;
3 2 7 133;
3 2 8 186;
4 1 1 0;
4 1 2 0;
4 1 3 0;
4 1 4 247;
4 1 5 227;
4 1 6 281;
4 1 7 219;
4 1 8 104;
4 2 1 0;
4 2 2 193;
4 2 3 117;
4 2 4 96;
4 2 5 64;
4 2 6 0;
4 2 7 225;
4 2 8 102;
5 1 1 210;
5 1 2 242;
5 1 3 167;
5 1 4 142;
5 1 5 294;
5 1 6 274;
5 1 7 116;
5 1 8 107;
5 2 1 289;
5 2 2 79;
5 2 3 52;
5 2 4 0;
5 2 5 253;
5 2 6 122;
5 2 7 0;
5 2 8 110;
]

# Perda de papel no setup da máquina
global f = [24.84 21.16; 24.84 21.16]

# c: tempo de corte da bobina mestre
global c_km = [23.76 20.24; 35.64 32.2]

# p: tempo de setup do padrão j para a bobina mestre
global p_km = [3.564 3.036; 5.346 4.83]
# Capacidade média de produção por período:
CM = 288918.5

D_kt = [185200.0 157748.0 100622.0 209082.0 204834.0 178478.0 111860.0 64836.0; 152290.0 161000.0 87778.0 137442.0 140588.0 143324.0 140006.0 135524.0]


# Capacidade de produção de jumbo
global Cap_p = [156015.0 156015.0 156015.0 156015.0 156015.0 156015.0 156015.0 156015.0; 132902.0 132902.0 132902.0 132902.0 132902.0 132902.0 132902.0 132902.0]

# Capacidade da cortadeira
global Cap_c = [
8075.0;
8075.0;
8075.0;
8075.0;
8075.0;
8075.0;
8075.0;
8075.0;
]
#-----------------------------------------
