###################################################
# Classe 1 : K = 2, M = 2, T = 8, N = 5
# Exemplo: 3.   Nome do arquivo: c1ex03.dat          Semente: 4203

global Q1 = 1e5
global Q2 = 1e5
#-----------------------Parâmetros----------------------
global K = 2 # Gramaturas
global M = 2 # Bobinas mestres (máquinas)
global T = 8 # Períodos
global N = 5 # Itens

global L = [540, 460] # Larguras das bobinas mestres

global l = [64, 119, 124, 131, 149] # Larguras dos itens

global rho = [2.0, 2.0] # Peso específico da bobina mestre

global b = [1080.0 920.0; 1080.0 920.0] # Peso total da bobina mestre
5 2 2 0.005;
5 2 3 0.005;
5 2 4 0.005;
5 2 5 0.005;
5 2 6 0.005;
5 2 7 0.005;
5 2 8 0.005;
]

# csc: custo de setup do padrão de corte (igual para cada padrão j)
global c_sc = [
1 1 1 0.142;
1 1 2 0.142;
1 1 3 0.142;
1 1 4 0.142;
1 1 5 0.142;
1 1 6 0.142;
1 1 7 0.142;
1 1 8 0.142;
1 2 1 0.123;
1 2 2 0.123;
1 2 3 0.123;
1 2 4 0.123;
1 2 5 0.123;
1 2 6 0.123;
1 2 7 0.123;
1 2 8 0.123;
2 1 1 0.111;
2 1 2 0.111;
2 1 3 0.111;
2 1 4 0.111;
2 1 5 0.111;
2 1 6 0.111;
2 1 7 0.111;
2 1 8 0.111;
2 2 1 0.088;
2 2 2 0.088;
2 2 3 0.088;
2 2 4 0.088;
2 2 5 0.088;
2 2 6 0.088;
2 2 7 0.088;
2 2 8 0.088;
]

# Demandas
global d = [
1 1 1 187;
1 1 2 95;
1 1 3 192;
1 1 4 225;
1 1 5 201;
1 1 6 286;
1 1 7 143;
1 1 8 0;
1 2 1 215;
1 2 2 117;
1 2 3 90;
1 2 4 194;
1 2 5 93;
1 2 6 71;
1 2 7 207;
1 2 8 252;
2 1 1 297;
2 1 2 282;
2 1 3 272;
2 1 4 193;
2 1 5 109;
2 1 6 144;
2 1 7 105;
2 1 8 0;
2 2 1 0;
2 2 2 62;
2 2 3 283;
2 2 4 0;
2 2 5 81;
2 2 6 209;
2 2 7 224;
2 2 8 66;
3 1 1 204;
3 1 2 223;
3 1 3 0;
3 1 4 276;
3 1 5 177;
3 1 6 126;
3 1 7 270;
3 1 8 133;
3 2 1 158;
3 2 2 192;
3 2 3 98;
3 2 4 0;
3 2 5 140;
3 2 6 271;
3 2 7 157;
3 2 8 165;
4 1 1 0;
4 1 2 252;
4 1 3 0;
4 1 4 218;
4 1 5 199;
4 1 6 0;
4 1 7 0;
4 1 8 0;
4 2 1 72;
4 2 2 111;
4 2 3 174;
4 2 4 0;
4 2 5 265;
4 2 6 245;
4 2 7 0;
4 2 8 80;
5 1 1 273;
5 1 2 249;
5 1 3 180;
5 1 4 237;
5 1 5 66;
5 1 6 202;
5 1 7 167;
5 1 8 164;
5 2 1 262;
5 2 2 0;
5 2 3 88;
5 2 4 85;
5 2 5 145;
5 2 6 66;
5 2 7 235;
5 2 8 287;
]

# Perda de papel no setup da máquina
global f = [21.6 18.4; 21.6 18.4]

# c: tempo de corte da bobina mestre
global c_km = [42.12 28.52; 33.48 20.24]

# p: tempo de setup do padrão j para a bobina mestre
global p_km = [4.633 3.137; 3.683 2.226]
# Capacidade média de produção por período:
CM = 344408.75

D_kt = [226568.0 274806.0 142952.0 270924.0 167372.0 162324.0 160020.0 81856.0; 163644.0 106430.0 174990.0 50162.0 178542.0 209896.0 188774.0 195370.0]


# Capacidade de produção de jumbo
global Cap_p = [185980.0 185980.0 185980.0 185980.0 185980.0 185980.0 185980.0 185980.0; 158428.0 158428.0 158428.0 158428.0 158428.0 158428.0 158428.0 158428.0]

# Capacidade da cortadeira
global Cap_c = [
10705.0;
10705.0;
10705.0;
10705.0;
10705.0;
10705.0;
10705.0;
10705.0;
]
#-----------------------------------------
