###################################################
# Classe 1 : K = 2, M = 2, T = 8, N = 5
# Exemplo: 6.   Nome do arquivo: c1ex06.dat          Semente: 6838

global Q1 = 1e5
global Q2 = 1e5
#-----------------------Parâmetros----------------------
global K = 2 # Gramaturas
global M = 2 # Bobinas mestres (máquinas)
global T = 8 # Períodos
global N = 5 # Itens

global L = [540, 460] # Larguras das bobinas mestres

global l = [79, 120, 127, 139, 149] # Larguras dos itens

global rho = [2.0, 2.0] # Peso específico da bobina mestre

global b = [1080.0 920.0; 1080.0 920.0] # Peso total da bobina mestre
5 2 2 0.005;
5 2 3 0.005;
5 2 4 0.005;
5 2 5 0.005;
5 2 6 0.005;
5 2 7 0.005;
5 2 8 0.005;
]

# csc: custo de setup do padrão de corte (igual para cada padrão j)
global c_sc = [
1 1 1 0.105;
1 1 2 0.105;
1 1 3 0.105;
1 1 4 0.105;
1 1 5 0.105;
1 1 6 0.105;
1 1 7 0.105;
1 1 8 0.105;
1 2 1 0.134;
1 2 2 0.134;
1 2 3 0.134;
1 2 4 0.134;
1 2 5 0.134;
1 2 6 0.134;
1 2 7 0.134;
1 2 8 0.134;
2 1 1 0.139;
2 1 2 0.139;
2 1 3 0.139;
2 1 4 0.139;
2 1 5 0.139;
2 1 6 0.139;
2 1 7 0.139;
2 1 8 0.139;
2 2 1 0.077;
2 2 2 0.077;
2 2 3 0.077;
2 2 4 0.077;
2 2 5 0.077;
2 2 6 0.077;
2 2 7 0.077;
2 2 8 0.077;
]

# Demandas
global d = [
1 1 1 231;
1 1 2 249;
1 1 3 0;
1 1 4 75;
1 1 5 272;
1 1 6 188;
1 1 7 108;
1 1 8 103;
1 2 1 116;
1 2 2 190;
1 2 3 147;
1 2 4 280;
1 2 5 169;
1 2 6 0;
1 2 7 69;
1 2 8 82;
2 1 1 54;
2 1 2 246;
2 1 3 166;
2 1 4 157;
2 1 5 216;
2 1 6 208;
2 1 7 294;
2 1 8 0;
2 2 1 276;
2 2 2 166;
2 2 3 0;
2 2 4 179;
2 2 5 122;
2 2 6 0;
2 2 7 122;
2 2 8 256;
3 1 1 0;
3 1 2 70;
3 1 3 0;
3 1 4 147;
3 1 5 94;
3 1 6 0;
3 1 7 54;
3 1 8 0;
3 2 1 282;
3 2 2 142;
3 2 3 268;
3 2 4 255;
3 2 5 0;
3 2 6 209;
3 2 7 287;
3 2 8 60;
4 1 1 217;
4 1 2 145;
4 1 3 285;
4 1 4 0;
4 1 5 92;
4 1 6 63;
4 1 7 252;
4 1 8 266;
4 2 1 103;
4 2 2 57;
4 2 3 114;
4 2 4 213;
4 2 5 174;
4 2 6 90;
4 2 7 282;
4 2 8 137;
5 1 1 120;
5 1 2 283;
5 1 3 0;
5 1 4 73;
5 1 5 222;
5 1 6 180;
5 1 7 108;
5 1 8 290;
5 2 1 0;
5 2 2 0;
5 2 3 158;
5 2 4 90;
5 2 5 256;
5 2 6 280;
5 2 7 262;
5 2 8 93;
]

# Perda de papel no setup da máquina
global f = [25.92 22.08; 25.92 22.08]

# c: tempo de corte da bobina mestre
global c_km = [44.28 34.96; 24.84 26.68]

# p: tempo de setup do padrão j para a bobina mestre
global p_km = [5.314 4.195; 2.981 3.202]
# Capacidade média de produção por período:
CM = 354761.5

D_kt = [145544.0 240806.0 119070.0 108622.0 210424.0 150778.0 203580.0 176642.0; 184830.0 121774.0 170074.0 238004.0 180642.0 161546.0 269552.0 155436.0]


# Capacidade de produção de jumbo
global Cap_p = [191571.0 191571.0 191571.0 191571.0 191571.0 191571.0 191571.0 191571.0; 163190.0 163190.0 163190.0 163190.0 163190.0 163190.0 163190.0 163190.0]

# Capacidade da cortadeira
global Cap_c = [
11594.0;
11594.0;
11594.0;
11594.0;
11594.0;
11594.0;
11594.0;
11594.0;
]
#-----------------------------------------
